province,year,tree_cover_loss_ha,co2_emissions
Jambi,2017,86202.78335490359,58927047.67969087
Jambi,2018,69978.69079948337,45891675.105491035
Jambi,2019,67672.53320403084,44534782.6266905
Jambi,2020,78387.11030002053,58106700.441126965
Jambi,2021,73131.46246786625,44650436.47905255
Jambi,2022,75656.49059735799,49091033.2561433
Jambi,2023,93815.91787996591,58733666.50785767
Jambi,2024,91323.30705047412,56862010.38696042
Jambi,2025,76224.95921105357,48663565.72378136
Kepulauan Riau,2001,1718.5207378279476,958043.9079741376
Kepulauan Riau,2002,5529.078505389323,3086542.7458917666
Kepulauan Riau,2003,1775.8284413205977,1018326.9047741987
Kepulauan Riau,2004,4533.366209313642,2473175.19349622
Kepulauan Riau,2005,8091.974981315275,4433025.23862562
Kepulauan Riau,2006,5432.079710318969,3112664.5059301197
Kepulauan Riau,2007,2687.725390477684,1488412.104730294
Kepulauan Riau,2008,8706.47094013962,4869747.810241543
Kepulauan Riau,2009,5232.924026274073,2977153.170628454
Kepulauan Riau,2010,4796.306228400428,2715515.9731065542
Kepulauan Riau,2011,6944.884247557072,4009110.762954376
Kepulauan Riau,2012,9374.47471663594,5602929.406557508
Kepulauan Riau,2013,4761.7103765743495,2937729.6264643697
Kepulauan Riau,2014,19230.076595071117,10754396.321774062
Kepulauan Riau,2015,5868.824332445205,3247917.42261106
Kepulauan Riau,2016,13057.680574905396,6720811.760804772
Kepulauan Riau,2017,7992.659973674522,4147222.9313669046
Kepulauan Riau,2018,6266.736097565535,3307799.71602798
Kepulauan Riau,2019,8888.404152436404,4601650.436333338
Kepulauan Riau,2020,8778.414302598707,4829350.730608714
Kepulauan Riau,2021,4390.437928785916,2402001.7623697263
Kepulauan Riau,2022,2844.76222201339,1575187.4479511627
Kepulauan Riau,2023,3343.795363326444,1881320.3153376032
Kepulauan Riau,2024,2622.856268969617,1479503.3938794131
Kepulauan Riau,2025,4275.748545018313,2477457.756967873
Lampung,2001,10335.957934911592,5716765.108077608
Lampung,2002,9347.567960413178,5351654.848528913
Lampung,2003,4981.992368628276,3028937.1690720203
Lampung,2004,10520.756287252256,5759314.185012129
Lampung,2005,9318.98871507502,4894482.571099177
Lampung,2006,14045.961569630705,7643916.071140806
Lampung,2007,15583.152867718216,8052846.086849245
Lampung,2008,16173.016492573295,9053480.847672537
Lampung,2009,23140.159530301407,11970029.391575929
Lampung,2010,14091.139242607647,7302673.654432266
Lampung,2011,16754.15319788539,8805755.028742533
Lampung,2012,30337.24824512801,16423594.717085736
Lampung,2013,5149.080439703362,2884743.1511873105
Lampung,2014,11364.552991185055,6500738.981977776
Lampung,2015,14132.541863491788,8275125.497063004
Lampung,2016,16241.462669452307,9918758.843432067
Lampung,2017,11761.518904678616,7209608.562215464
Lampung,2018,10335.261950330676,6048311.596926844
Lampung,2019,13175.718441651587,7389107.398337939
Lampung,2020,9471.886542082551,4961813.787453756
Lampung,2021,7605.0327123830975,4750621.839968926
Lampung,2022,7023.076108022483,4224197.725811892
Lampung,2023,21634.71992888476,13115073.427352758
Lampung,2024,12943.17489885326,8437012.373084886
Lampung,2025,13549.207474368251,8970321.404537521
Riau,2001,156510.93847118443,145488037.44418433
Riau,2002,154561.04070313126,174861441.63596904
Riau,2003,57204.37765591132,57755931.797570385
Riau,2004,270587.9496832354,309367921.314576
Riau,2005,355413.5074383197,395715394.0393431
Riau,2006,202107.51090674172,196058706.98518437
Riau,2007,211990.05509059603,228599258.3259716
Riau,2008,204515.55003562503,197402205.22265252
Riau,2009,247897.37386269704,242119893.57587615
Riau,2010,341923.35875356983,385832945.4991509
Riau,2011,255307.07867980804,315050059.9843793
Riau,2012,346654.5753067324,367387954.8469645
Riau,2013,156344.0138072704,149930189.50234804
Riau,2014,282784.05505333346,289110623.0728843
Riau,2015,90762.30866297497,67240187.86467497
Riau,2016,147085.00836338365,99615054.68990424
Riau,2017,123675.36807602306,71514496.91187914
Riau,2018,101107.4144456208,53064101.91861104
Riau,2019,102818.34046037318,52352899.24956984
Riau,2020,94604.28556027843,44465964.937236235
Riau,2021,95678.52620827255,50236760.231445044
Riau,2022,86882.16450062244,46079203.19524364
Riau,2023,115270.34289900315,54944383.606279455
Riau,2024,100669.92039912177,49142543.07246874
Riau,2025,96186.09510864031,46551304.98514298
Sumatera Barat,2001,15016.27274643137,9083973.530543312
Sumatera Barat,2002,15383.87420187606,11049061.222132256
Sumatera Barat,2003,9833.924640890556,6996853.993768483
Sumatera Barat,2004,26547.179980610865,19759771.855946664
Sumatera Barat,2005,29284.97330877139,23670589.53151796
Sumatera Barat,2006,32716.02951816165,24170412.79395905
Sumatera Barat,2007,31672.120423934008,23727345.823902383
Sumatera Barat,2008,34036.082012213075,25389625.3708815
Sumatera Barat,2009,40536.19076483004,29507271.376618396
Sumatera Barat,2010,22959.76004040377,16018003.333303444
Sumatera Barat,2011,42570.176667683976,31102643.075282283
Sumatera Barat,2012,36510.92588380508,28385892.127415173
Sumatera Barat,2013,22432.763487017997,15901144.651395448
Sumatera Barat,2014,30559.579933978985,19265804.227525413
Sumatera Barat,2015,22500.00932931048,14461278.727463156
Sumatera Barat,2016,39172.172645882565,25274452.200403016
Sumatera Barat,2017,51511.247483349835,32965736.527336188
Sumatera Barat,2018,37400.091096979886,22558072.980004236
Sumatera Barat,2019,30975.82308128644,17571083.906796783
Sumatera Barat,2020,30395.01922571139,14276532.529303957
Sumatera Barat,2021,35801.320303097695,19032219.326020125
Sumatera Barat,2022,35602.46265070463,21288242.76405624
Sumatera Barat,2023,35179.512906352094,20490442.68369506
Sumatera Barat,2024,32209.32411184336,18881753.445624217
Sumatera Barat,2025,46160.822239803456,28512594.05865576
Sumatera Selatan,2001,59014.10951321032,31438329.07912594
Sumatera Selatan,2002,65957.90360662583,47317532.94616662
Sumatera Selatan,2003,30692.844263726733,19722444.50168535
Sumatera Selatan,2004,102153.2058466192,70888334.6176954
Sumatera Selatan,2005,87403.78436662532,66628833.860243626
Sumatera Selatan,2006,170368.58618565448,147426290.34914
Sumatera Selatan,2007,173987.0628506656,178119433.9529282
Sumatera Selatan,2008,189246.87873843723,157903867.2554812
Sumatera Selatan,2009,201438.47046285693,154510886.17743158
Sumatera Selatan,2010,120180.0740403406,104563949.2650856
Sumatera Selatan,2011,132284.51768220172,111368140.08626868
Sumatera Selatan,2012,361298.08797214925,289753037.5529249
Sumatera Selatan,2013,100948.00680977727,81654614.12010595
Sumatera Selatan,2014,159551.33142366362,115740447.08002484
Sumatera Selatan,2015,169038.97722292165,140654093.60049835
Sumatera Selatan,2016,275754.1200797944,259898326.52886295
Sumatera Selatan,2017,124660.15279931104,93596414.85897495
Sumatera Selatan,2018,125458.76488959084,79977141.51749037
Sumatera Selatan,2019,102589.98397806867,65511820.81765944
Sumatera Selatan,2020,108366.97662480018,68998038.1337108
Sumatera Selatan,2021,77865.58483308053,50519753.94516826
Sumatera Selatan,2022,87810.0292802949,54143834.631588325
Sumatera Selatan,2023,139240.53052417625,83248154.98239458
Sumatera Selatan,2024,120445.0593700165,70685098.56547931
Sumatera Selatan,2025,119328.5925923462,72809475.9993385
Sumatera Utara,2001,54337.40430878785,20325215.59651832
Sumatera Utara,2002,39736.07892961693,19915984.406177424
Sumatera Utara,2003,37482.424165259035,17451907.559605166
Sumatera Utara,2004,72385.14899564727,33313010.824303366
Sumatera Utara,2005,74515.35286221516,42627564.265190534
Sumatera Utara,2006,66723.92992395555,36527535.14764785
Sumatera Utara,2007,52432.74765982923,28205549.456764735
Sumatera Utara,2008,65671.21593248914,39386854.53470369
Sumatera Utara,2009,121058.78344243603,70759141.20100722
Sumatera Utara,2010,93338.8974745205,47821471.28808885
Sumatera Utara,2011,100568.37535835068,55654494.52883808
Sumatera Utara,2012,89313.13970870817,47063375.29368887
Sumatera Utara,2013,53253.043935559785,24810512.59103916
Sumatera Utara,2014,85503.35364504083,44352974.69156957
Sumatera Utara,2015,53039.755142833696,27508224.0098085
Sumatera Utara,2016,79282.61151841532,39254197.49276925
Sumatera Utara,2017,74550.75052325854,34494313.28284332
Sumatera Utara,2018,66197.1659306219,30288871.345765285
Sumatera Utara,2019,51889.61201243151,22807030.44242438
Sumatera Utara,2020,50232.21341735307,21554945.59906214
Sumatera Utara,2021,59204.36371560642,27154840.33368076
Sumatera Utara,2022,49218.72713392365,25172582.434334345
Sumatera Utara,2023,65334.91685513265,31726408.146943368
Sumatera Utara,2024,64259.71520659641,31333095.152093053
Sumatera Utara,2025,75405.70164341938,43504629.09101868
